lon,lat,Grade,ActiveTeams,InactiveTeams,School,Local District,Hosting,Grants,VIQC,VRC,Workshop,NumberofteamsVEXIQESLeague,EventDatesVEXIQESLeague,EventWebsiteVEXIQESLeague,NumberofteamsVEXIQMSLeague,EventDatesVEXIQMSLeague,EventWebsiteVEXIQMSLeague,NumberofteamsVEXIQESMSLeague,Event DatesVEXIQESMSLeague,EventWebsiteVEXIQESMSLeague,NumberofteamsVEXIQESTournament,EventDatesVEXIQESTournament,EventWebsiteVEXIQESTournament,NumberofteamsVEXIQMSTournament,EventDatesVEXIQMSTournament,EventWebsiteVEXIQESTournament,NumberofteamsVEXIQESMSTournament,EventDatesVEXIQESMSTournament,EventWebsiteVEXIQESMSTournament,workshopDates
-118.2064195888,34.1106305497,Elementary,,,Aldama Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.3122784513,33.793204185,Middle,,,Alexander Fleming Middle School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.3916149955,34.034321673,High,,,Alexander Hamilton High School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.2995690248,34.078058704,Elementary,"37296C, 37296B, 37296A",,Alexandria Avenue Elementary School,Central,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.5519466069,34.2518749378,Middle,,,Alfred Bernhard Nobel Charter Middle School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.251892553,34.102127108,Elementary,,,Allesandro Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.4568051781,34.232169525,Elementary,,,Alta California Elementary School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.338764621,34.043196003,Elementary,,,Alta Loma Elementary School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.1860873904,34.0246392839,Elementary,,,Amanecer Primary Center,East ,,,,,,,,,,,,,,,,,,,,,,,,
-118.2707412077,33.8784646517,Elementary,,,Ambler Avenue Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.2933956652,33.8957559107,Elementary,,,Amestoy Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.5145747374,34.2042070046,Elementary,"91343D, 7364A",,Anatola Avenue Elementary School,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.5145841797,34.2549101532,Elementary,"54758A, 37350B",,Andasol Avenue Elementary School,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.4420386554,34.1964854586,Elementary,,,Andres & Maria Cardenas Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.2590054781,33.8294477219,Middle,,,Andrew Carnegie Middle School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.3219679368,33.9957879378,Elementary,72667A,,Angeles Mesa Elementary School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2301704399,34.0645835073,Elementary,,,Ann Street Elementary School,East,,,,,,,,,,,,,,,,,,,,,,,,
-118.2518405363,33.854421427,Elementary,"19410X, 19410A",,Annalee Avenue Elementary School,South,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.1866141282,34.1286586613,Elementary,,,Annandale Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.1813026054,34.0467412926,Elementary,,,"Anton, William R. Elementary School",East,,,,,,,,,,,,,,,,,,,,,,,,
-118.3073841792,34.2559700862,Elementary,,,Apperson Street Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.225438436,34.0950257682,Elementary,,,Aragon Avenue Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.441900439,34.2504301703,High,,,Arleta High School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.3252965918,34.0413338982,Elementary,,,Arlington Heights Elementary School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.3825356197,34.2150579939,Elementary,,,Arminta Street Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
-118.2043395645,34.1019208797,Elementary,"31807A, 21903A",,Arroyo Seco Museum Science Magnet,Central,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2483494203,34.0037346934,Elementary,"2219D, 2219C, 2219B, 2219A",,Ascot Avenue Elementary School,Central,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.1971228289,33.9843078895,Elementary,,,Aspire Antonio Maria Lugo Academy,East,,,,,,,,,,,,,,,,,,,,,,,,
-118.1891328569,33.9519453474,Elementary,,,Aspire Firestone Academy,East,,,,,,,,,,,,,,,,,,,,,,,,
-118.1892272936,33.9519361518,Elementary,,,Aspire Gateway Academy,East,,,,,,,,,,,,,,,,,,,,,,,,
-118.2747700421,33.9873923785,Elementary,,,Aspire Inskeep Academy,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.234166771,33.9780878549,Elementary,,,Aspire Junior Collegiate Academy,East,,,,,,,,,,,,,,,,,,,,,,,,
-118.2339414883,33.977260399,Elementary,,,Aspire Public Schools,East,,,,,,,,,,,,,,,,,,,,,,,,
-118.2746842087,33.9874813366,Elementary,,,Aspire Slauson Acadeny,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.2748617201,33.9874190728,Elementary,,,"Aspire Tate, Juanita Academy",South,,,,,,,,,,,,,,,,,,,,,,,,
-118.2337420867,33.9784445175,Elementary,,,Aspire Titan Academy,East,,,,,,,,,,,,,,,,,,,,,,,,
-118.253780337401,34.1153195152465,Elementary,2233A,,Atwater Avenue Elementary School,Central,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.3281857501,34.0087328034,Middle,,,Audubon Middle School,West,,,,,,,,,,,,,,,,,,,,,,,,
-118.2571725934,33.9951547158,Elementary,,,Aurora Elementary School,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.2693400099,33.9051637805,Elementary,,,Avalon Gardens Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.502785969,34.2491544314,Elementary,,,Balboa Gifted/High Ability Magnet Elementary School,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.3653163521,34.0227371603,Elementary,"5421B, 5421A",,Baldwin Hills Elementary School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.2997678931,33.746519624,Elementary,,,Bandini Street Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.2683285696,33.9039770984,span,,,Banneker Special Education Center ,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.2886851788,33.7468844081,Elementary,,,Barton Hill Elementary School,South,,,,,,,,,,,,,,,,,,,,,,,,
-118.4768413686,34.1957873345,Elementary,"91343D, 38A",,Bassett Street Elementary School,Northwest,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.438095934,34.2479055115,Elementary,"23975B, 23975A",,Beachy Avenue Elementary School,Northeast,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.5489658908,34.2672678232,Elementary,,,Beckford Charter for Enriched Studies,Northwest,,,,,,,,,,,,,,,,,,,,,,,,
-118.4433341352,34.002419227,Elementary,2342A,,Beethoven Street Elementary School,West,,,Yes,,,,,,,,,,,,,,,,,,,,,
-118.1899402645,33.97464178,High,,,Bell High School ,East,,,,,,,,,,,,,,,,,,,,,,,,
-118.2805290952,34.0795790242,Elementary,,,Bellevue Primary Center,Central,,,,,,,,,,,,,,,,,,,,,,,,
-118.3986141906,34.1931766368,Elementary,,,Bellingham Elementary School,Northeast,,,,,,,,,,,,,,,,,,,,,,,,
